"","ï..Sno","Date","Time","State","ConfirmedIndianNational","ConfirmedForeignNational","Cured","Deaths","Confirmed"
"1",77,2020-03-09,"6:00 PM","Maharashtra","2","0",0,0,2
"2",92,2020-03-10,"6:00 PM","Maharashtra","5","0",0,0,5
"3",98,2020-03-11,"6:00 PM","Maharashtra","2","0",0,0,2
"4",121,2020-03-12,"6:00 PM","Maharashtra","11","0",0,0,11
"5",134,2020-03-13,"6:00 PM","Maharashtra","14","0",0,0,14
"6",147,2020-03-14,"6:00 PM","Maharashtra","14","0",0,0,14
"7",154,2020-03-15,"6:00 PM","Maharashtra","32","0",0,0,32
"8",168,2020-03-16,"6:00 PM","Maharashtra","32","0",0,0,32
"9",169,2020-03-16,"6:00 PM","Odisha","1","0",0,0,1
"10",183,2020-03-17,"6:00 PM","Maharashtra","36","3",0,1,39
"11",184,2020-03-17,"6:00 PM","Odisha","1","0",0,0,1
"12",198,2020-03-18,"6:00 PM","Maharashtra","39","3",0,1,42
"13",199,2020-03-18,"6:00 PM","Odisha","1","0",0,0,1
"14",209,2020-03-18,"6:00 PM","West Bengal","1","0",0,0,1
"15",211,2020-03-19,"6:00 PM","Chhattisgarh","1","0",0,0,1
"16",216,2020-03-19,"6:00 PM","Maharashtra","44","3",0,1,47
"17",217,2020-03-19,"6:00 PM","Odisha","1","0",0,0,1
"18",228,2020-03-19,"6:00 PM","West Bengal","1","0",0,0,1
"19",230,2020-03-20,"6:00 PM","Chhattisgarh","1","0",0,0,1
"20",232,2020-03-20,"6:00 PM","Gujarat","5","0",0,0,5
"21",236,2020-03-20,"6:00 PM","Maharashtra","49","3",0,1,52
"22",237,2020-03-20,"6:00 PM","Odisha","2","0",0,0,2
"23",248,2020-03-20,"6:00 PM","West Bengal","2","0",0,0,2
"24",250,2020-03-21,"6:00 PM","Chhattisgarh","1","0",0,0,1
"25",252,2020-03-21,"6:00 PM","Gujarat","7","0",0,0,7
"26",257,2020-03-21,"6:00 PM","Madhya Pradesh","4","0",0,0,4
"27",258,2020-03-21,"6:00 PM","Maharashtra","60","3",0,1,63
"28",259,2020-03-21,"6:00 PM","Odisha","2","0",0,0,2
"29",270,2020-03-21,"6:00 PM","West Bengal","3","0",0,0,3
"30",273,2020-03-22,"6:00 PM","Chhattisgarh","1","0",0,0,1
"31",275,2020-03-22,"6:00 PM","Gujarat","18","0",0,1,18
"32",280,2020-03-22,"6:00 PM","Madhya Pradesh","4","0",0,0,4
"33",281,2020-03-22,"6:00 PM","Maharashtra","64","3",0,2,67
"34",282,2020-03-22,"6:00 PM","Odisha","2","0",0,0,2
"35",293,2020-03-22,"6:00 PM","West Bengal","4","0",0,0,4
"36",296,2020-03-23,"6:00 PM","Chhattisgarh","1","0",0,0,1
"37",298,2020-03-23,"6:00 PM","Gujarat","29","0",0,1,29
"38",303,2020-03-23,"6:00 PM","Madhya Pradesh","6","0",0,0,6
"39",304,2020-03-23,"6:00 PM","Maharashtra","71","3",0,2,74
"40",305,2020-03-23,"6:00 PM","Odisha","2","0",0,0,2
"41",316,2020-03-23,"6:00 PM","West Bengal","7","0",0,0,7
"42",319,2020-03-24,"6:00 PM","Chhattisgarh","1","0",0,0,1
"43",321,2020-03-24,"6:00 PM","Gujarat","32","1",0,1,33
"44",326,2020-03-24,"6:00 PM","Madhya Pradesh","7","0",0,0,7
"45",327,2020-03-24,"6:00 PM","Maharashtra","86","3",0,2,89
"46",329,2020-03-24,"6:00 PM","Odisha","2","0",0,0,2
"47",340,2020-03-24,"6:00 PM","West Bengal","9","0",0,1,9
"48",343,2020-03-25,"6:00 PM","Chhattisgarh","1","0",0,0,1
"49",345,2020-03-25,"6:00 PM","Gujarat","37","1",0,1,38
"50",350,2020-03-25,"6:00 PM","Madhya Pradesh","14","0",0,0,14
"51",351,2020-03-25,"6:00 PM","Maharashtra","125","3",1,3,128
"52",354,2020-03-25,"6:00 PM","Odisha","2","0",0,0,2
"53",365,2020-03-25,"6:00 PM","West Bengal","9","0",0,1,9
"54",370,2020-03-26,"6:00 PM","Chhattisgarh","6","0",0,0,6
"55",373,2020-03-26,"6:00 PM","Gujarat","42","1",0,3,43
"56",380,2020-03-26,"6:00 PM","Madhya Pradesh","20","0",0,1,20
"57",381,2020-03-26,"6:00 PM","Maharashtra","121","3",1,3,124
"58",384,2020-03-26,"6:00 PM","Odisha","2","0",0,0,2
"59",392,2020-03-26,"6:00 PM","West Bengal","10","0",0,1,10
"60",397,2020-03-27,"10:00 AM","Chhattisgarh","6","0",0,0,6
"61",400,2020-03-27,"10:00 AM","Gujarat","42","1",0,3,43
"62",407,2020-03-27,"10:00 AM","Madhya Pradesh","20","0",0,1,20
"63",408,2020-03-27,"10:00 AM","Maharashtra","127","3",15,4,130
"64",411,2020-03-27,"10:00 AM","Odisha","2","0",0,0,2
"65",419,2020-03-27,"10:00 AM","West Bengal","10","0",0,1,10
"66",424,2020-03-28,"6:00 PM","Chhattisgarh","6","0",0,0,6
"67",427,2020-03-28,"6:00 PM","Gujarat","44","1",0,3,45
"68",434,2020-03-28,"6:00 PM","Madhya Pradesh","30","0",0,2,30
"69",435,2020-03-28,"6:00 PM","Maharashtra","177","3",25,5,180
"70",438,2020-03-28,"6:00 PM","Odisha","3","0",0,0,3
"71",446,2020-03-28,"6:00 PM","West Bengal","15","0",0,1,15
"72",451,2020-03-29,"7:30 PM","Chhattisgarh","-","-",0,0,7
"73",454,2020-03-29,"7:30 PM","Gujarat","-","-",1,5,58
"74",461,2020-03-29,"7:30 PM","Madhya Pradesh","-","-",0,2,30
"75",462,2020-03-29,"7:30 PM","Maharashtra","-","-",25,6,186
"76",465,2020-03-29,"7:30 PM","Odisha","-","-",0,0,3
"77",473,2020-03-29,"7:30 PM","West Bengal","-","-",0,1,18
"78",478,2020-03-30,"9:30 PM","Chhattisgarh","-","-",0,0,7
"79",481,2020-03-30,"9:30 PM","Gujarat","-","-",1,6,69
"80",488,2020-03-30,"9:30 PM","Madhya Pradesh","-","-",0,3,47
"81",489,2020-03-30,"9:30 PM","Maharashtra","-","-",25,8,198
"82",492,2020-03-30,"9:30 PM","Odisha","-","-",0,0,3
"83",500,2020-03-30,"9:30 PM","West Bengal","-","-",0,1,22
"84",506,2020-03-31,"8:30 PM","Chhattisgarh","-","-",0,0,8
"85",509,2020-03-31,"8:30 PM","Gujarat","-","-",3,6,73
"86",516,2020-03-31,"8:30 PM","Madhya Pradesh","-","-",0,3,47
"87",517,2020-03-31,"8:30 PM","Maharashtra","-","-",39,9,216
"88",520,2020-03-31,"8:30 PM","Odisha","-","-",0,0,3
"89",528,2020-03-31,"8:30 PM","West Bengal","-","-",0,2,26
"90",535,2020-04-01,"7:30 PM","Chhattisgarh","-","-",2,0,9
"91",538,2020-04-01,"7:30 PM","Gujarat","-","-",5,6,82
"92",542,2020-04-01,"7:30 PM","Jharkhand","-","-",0,0,1
"93",546,2020-04-01,"7:30 PM","Madhya Pradesh","-","-",0,3,66
"94",547,2020-04-01,"7:30 PM","Maharashtra","-","-",39,9,302
"95",550,2020-04-01,"7:30 PM","Odisha","-","-",0,0,4
"96",558,2020-04-01,"7:30 PM","West Bengal","-","-",6,3,37
"97",564,2020-04-02,"6:00 PM","Chhattisgarh","-","-",2,0,9
"98",567,2020-04-02,"6:00 PM","Gujarat","-","-",8,7,87
"99",571,2020-04-02,"6:00 PM","Jharkhand","-","-",0,0,1
"100",575,2020-04-02,"6:00 PM","Madhya Pradesh","-","-",0,6,99
"101",576,2020-04-02,"6:00 PM","Maharashtra","-","-",42,13,335
"102",579,2020-04-02,"6:00 PM","Odisha","-","-",0,0,4
"103",587,2020-04-02,"6:00 PM","West Bengal","-","-",6,3,53
"104",594,2020-04-03,"6:00 PM","Chhattisgarh","-","-",3,0,9
"105",597,2020-04-03,"6:00 PM","Gujarat","-","-",10,8,95
"106",601,2020-04-03,"6:00 PM","Jharkhand","-","-",0,0,2
"107",605,2020-04-03,"6:00 PM","Madhya Pradesh","-","-",0,6,104
"108",606,2020-04-03,"6:00 PM","Maharashtra","-","-",42,16,335
"109",609,2020-04-03,"6:00 PM","Odisha","-","-",0,0,5
"110",617,2020-04-03,"6:00 PM","West Bengal","-","-",3,3,63
"111",625,2020-04-04,"6:00 PM","Chhattisgarh","-","-",3,0,9
"112",628,2020-04-04,"6:00 PM","Gujarat","-","-",14,10,105
"113",632,2020-04-04,"6:00 PM","Jharkhand","-","-",0,0,2
"114",636,2020-04-04,"6:00 PM","Madhya Pradesh","-","-",0,6,104
"115",637,2020-04-04,"6:00 PM","Maharashtra","-","-",42,24,490
"116",640,2020-04-04,"6:00 PM","Odisha","-","-",0,0,5
"117",648,2020-04-04,"6:00 PM","West Bengal","-","-",3,3,69
"118",655,2020-04-05,"6:00 PM","Chhattisgarh","-","-",3,0,9
"119",658,2020-04-05,"6:00 PM","Gujarat","-","-",18,11,122
"120",662,2020-04-05,"6:00 PM","Jharkhand","-","-",0,0,3
"121",666,2020-04-05,"6:00 PM","Madhya Pradesh","-","-",0,9,165
"122",667,2020-04-05,"6:00 PM","Maharashtra","-","-",42,24,490
"123",670,2020-04-05,"6:00 PM","Odisha","-","-",0,0,20
"124",678,2020-04-05,"6:00 PM","West Bengal","-","-",10,3,80
"125",685,2020-04-06,"6:00 PM","Chhattisgarh","-","-",8,0,10
"126",688,2020-04-06,"6:00 PM","Gujarat","-","-",22,12,144
"127",692,2020-04-06,"6:00 PM","Jharkhand","-","-",0,0,4
"128",696,2020-04-06,"6:00 PM","Madhya Pradesh","-","-",0,9,165
"129",697,2020-04-06,"6:00 PM","Maharashtra","-","-",56,45,748
"130",700,2020-04-06,"6:00 PM","Odisha","-","-",2,0,21
"131",708,2020-04-06,"6:00 PM","West Bengal","-","-",10,3,80
"132",715,2020-04-07,"6:00 PM","Chhattisgarh","-","-",9,0,10
"133",718,2020-04-07,"6:00 PM","Gujarat","-","-",25,13,165
"134",722,2020-04-07,"6:00 PM","Jharkhand","-","-",0,0,4
"135",726,2020-04-07,"6:00 PM","Madhya Pradesh","-","-",0,13,229
"136",727,2020-04-07,"6:00 PM","Maharashtra","-","-",56,48,868
"137",730,2020-04-07,"6:00 PM","Odisha","-","-",2,1,42
"138",739,2020-04-07,"6:00 PM","West Bengal","-","-",13,3,91
