"","Sno","Date","Time","State","ConfirmedIndianNational","ConfirmedForeignNational","Cured","Deaths","Confirmed"
"1",77,"09/03/20","6:00 PM","Maharashtra","2","0",0,0,2
"2",92,"10/03/20","6:00 PM","Maharashtra","5","0",0,0,5
"3",98,"11/03/20","6:00 PM","Maharashtra","2","0",0,0,2
"4",121,"12/03/20","6:00 PM","Maharashtra","11","0",0,0,11
"5",134,"13/03/20","6:00 PM","Maharashtra","14","0",0,0,14
"6",147,"14/03/20","6:00 PM","Maharashtra","14","0",0,0,14
"7",154,"15/03/20","6:00 PM","Maharashtra","32","0",0,0,32
"8",168,"16/03/20","6:00 PM","Maharashtra","32","0",0,0,32
"9",169,"16/03/20","6:00 PM","Odisha","1","0",0,0,1
"10",183,"17/03/20","6:00 PM","Maharashtra","36","3",0,1,39
"11",184,"17/03/20","6:00 PM","Odisha","1","0",0,0,1
"12",198,"18/03/20","6:00 PM","Maharashtra","39","3",0,1,42
"13",199,"18/03/20","6:00 PM","Odisha","1","0",0,0,1
"14",209,"18/03/20","6:00 PM","West Bengal","1","0",0,0,1
"15",211,"19/03/20","6:00 PM","Chhattisgarh","1","0",0,0,1
"16",216,"19/03/20","6:00 PM","Maharashtra","44","3",0,1,47
"17",217,"19/03/20","6:00 PM","Odisha","1","0",0,0,1
"18",228,"19/03/20","6:00 PM","West Bengal","1","0",0,0,1
"19",230,"20/03/20","6:00 PM","Chhattisgarh","1","0",0,0,1
"20",232,"20/03/20","6:00 PM","Gujarat","5","0",0,0,5
"21",236,"20/03/20","6:00 PM","Maharashtra","49","3",0,1,52
"22",237,"20/03/20","6:00 PM","Odisha","2","0",0,0,2
"23",248,"20/03/20","6:00 PM","West Bengal","2","0",0,0,2
"24",250,"21/03/20","6:00 PM","Chhattisgarh","1","0",0,0,1
"25",252,"21/03/20","6:00 PM","Gujarat","7","0",0,0,7
"26",257,"21/03/20","6:00 PM","Madhya Pradesh","4","0",0,0,4
"27",258,"21/03/20","6:00 PM","Maharashtra","60","3",0,1,63
"28",259,"21/03/20","6:00 PM","Odisha","2","0",0,0,2
"29",270,"21/03/20","6:00 PM","West Bengal","3","0",0,0,3
"30",273,"22/03/20","6:00 PM","Chhattisgarh","1","0",0,0,1
"31",275,"22/03/20","6:00 PM","Gujarat","18","0",0,1,18
"32",280,"22/03/20","6:00 PM","Madhya Pradesh","4","0",0,0,4
